client_id	path	sentence	up_votes	down_votes	age	gender	accent
a130c04be0aa10753fd0eec05080ac01587b8c07204f168796aa59b7eeaa355db7fa9ee8cdf1dde481cf38e65a44ba0f2b96e3283acb1b5de2d7179f19b35d59	573172f9e5fb61a1122d501eb8dcda25b8eb4f13c5115f3f7e4ec956c28af9b9c59ee5c0ba7d14150f684b612c0d53a860f38b8573c13237d8c7499d5a827bdc	Ma question s’adresse à Monsieur le ministre de l’éducation nationale.	1	2	twenties	male	
b9bd1ff9d3671ded4f62fcebd88d322ab107a97517dd5d807d9e8ed395934acadcdbed70891c497c4ff297ca8a9cac5a272187879d0fcb3b8a2d352ef728a164	7ab7d0c205147c06eb2cd181ef5acdc52fb3c3b3b3281dd79b366c156454fc500a9ef1f25fd6f3560a186865ad50d399f08688cf1383879ee89e71a5f6668a26	Laissez lever la patte environ 30 minutes au frigo puis mettez là au four	0	2	thirties	male	france
b9bd1ff9d3671ded4f62fcebd88d322ab107a97517dd5d807d9e8ed395934acadcdbed70891c497c4ff297ca8a9cac5a272187879d0fcb3b8a2d352ef728a164	05adb7a0a83699799dc840c4d14b7d23982adfbafd3603813c36ce069e1f1a056f44aa34534fb5ddae9947d09e0a932444ab98307d0b9c34af39cd1170411688	L’intercommunalité n’est pas une collectivité, même si les choses évolueront peut-être un jour.	0	2	thirties	male	france
b9bd1ff9d3671ded4f62fcebd88d322ab107a97517dd5d807d9e8ed395934acadcdbed70891c497c4ff297ca8a9cac5a272187879d0fcb3b8a2d352ef728a164	602851bc871e8cee235cbe527f3b8c283e661e0d7e7e02b621ec9fb9fdfd2c0f854c8a65b00c74c7073ab8571ff2ee257042b2a45884ea25f350a50a4157324c	Nous vous donnons donc entière satisfaction.	1	2	thirties	male	france
ab04b7d34ddf99953dfb9146df7fde1be0747c5fbe338474df59f965cf13cd3473918790baf0372041139eebf97722f29704b754d72257fec1cfd77c901759b2	99972e299b37fcd634062081f86b8bb16b7af1fddd4aa1f0dab44f778b78842b8577d1d07a7fba015ec651eb94f682562f72b703f8998617f091fb62ce95a2f3	Demain, il n’y aura plus d’entreprises	0	2			
a052643877e709f958e5047cd5edc59a28e6c0cbec9aef7d9da18f454b47d005a797e86bccd9388f48599e2ec5b13f812d6b001b7415bdc06711369de0772357	a12d36704ea420ad2b3357c4eadcfff967629a20e606ade10c119cf8c0f2da62b7c166c4119f4fb775a29b34fdbf00d73122e725836c6a1c52ceaa408e0b5401	Reprenons l’argumentation du rapporteur.	1	2	thirties	male	france
a052643877e709f958e5047cd5edc59a28e6c0cbec9aef7d9da18f454b47d005a797e86bccd9388f48599e2ec5b13f812d6b001b7415bdc06711369de0772357	7c80207f7e5ef0104fdb3c4cc4ef115690c0d722c3e3d4ec9f387ec0e29cee4863d215da1111184bd9a25600f93f525a457cad1ed5a018a5b5458b9939689063	Vous bénéficiez de cette évolution, mais vous n’en faites pas grand-chose.	1	2	thirties	male	france
a052643877e709f958e5047cd5edc59a28e6c0cbec9aef7d9da18f454b47d005a797e86bccd9388f48599e2ec5b13f812d6b001b7415bdc06711369de0772357	29888942e383fbb7dd734c4eed169ae9f6771e5d5e664cf8d83b5e8ddfa566f3afc54f6e02a096f646c1e5cd46378847b414dfa18e04822b464d39acc4d21e74	Tout cela est incohérent, quand le même gouvernement affirme entendre les entreprises.	0	2	thirties	male	france
a052643877e709f958e5047cd5edc59a28e6c0cbec9aef7d9da18f454b47d005a797e86bccd9388f48599e2ec5b13f812d6b001b7415bdc06711369de0772357	c629abcc2db50e95e32d760fa6e32b1403b0e9fb87f17563a7b0505a89ce04bc81e976ebc13ba9f7ddef63d049cab149963d98242182505ee90ca01172c18f08	Je pense que cet amendement va dans le bon sens.	1	2	thirties	male	france
b6e55c3a26ee8aa7530a846a080e663548397c26efe6fe07dc3c99d8110479150120ede7ba156ba67b36ff139d591051e6d9d682dc8333df3bcb2ed641722118	b28c34db38346ec846d72f04195485dddb30950fa4cb3239cde4218c47a08d029a9af92349b3b2284551b890506ca690deffc8c65168459e43b0b9bc334ddaf3	(Rires et applaudissements sur les bancs des groupes SRC, écologiste et RRDP.	0	2	thirties	male	france
