chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0.42689192,0.09286684,0.05446843,0.007070528,2089.459112045283,841817.7660775598,2531.1794434716517,631646.6133664765,4860.422009184161,7160712.796801294,0.08061113430343511,0.001698426437311243,-1.8720817e-05,0.0018362432,123.046875,-364.4127,25386.672,98.87653,2742.417,22.289598,514.55365,16.95533,474.218,-2.547383,594.3572,1.2467363,163.80591,6.109837,122.451294,2.7364504,148.90114,-4.12599,193.63786,-1.7521966,137.78044,2.093756,84.6719,0.8589291,123.61396,3.7351215,79.841515,1.9797114,46.738773,-7.102875,100.70469,2.715323,63.421116,-0.734902,85.08864,0.04660826,48.280228,-2.2584643,38.278255,4.35114,45.72297,04383b5618f4d8d8ef2b075c6e24f754ac6c0795717058f7e330bcd09e1e835f3e854446fda612edf59a9159f87a4475a1fad99f520e9df05caabe23d304af28
0.37797216,0.09477633,0.060410786,0.0035580383,1982.1641923168706,1868914.2372578369,2217.980175081266,685408.1000367209,4098.4222412109375,8137534.924199805,0.09689243861607143,0.009861681157228897,3.549866e-06,0.0027399112,112.34714673913044,-328.77454,15537.339,111.961006,3928.3906,19.308382,737.1479,21.192732,515.1637,8.720515,598.144,-4.517477,494.88092,3.347435,190.91968,-1.2151958,202.2701,-8.476851,257.33667,-6.042824,144.3512,-5.2294664,170.92575,-4.6634007,137.78459,-0.59724885,89.1077,-2.4310517,95.02801,-4.056511,72.91655,3.537037,65.98556,-5.179679,66.35975,-2.1856291,50.56198,0.07056397,42.270523,5.3939404,49.622696,04383b5618f4d8d8ef2b075c6e24f754ac6c0795717058f7e330bcd09e1e835f3e854446fda612edf59a9159f87a4475a1fad99f520e9df05caabe23d304af28
0.39440966,0.08544755,0.055618525,0.004715583,2559.911582500006,2594916.442539993,2500.3290886676746,672624.4239250383,5215.6909839527025,9887287.260660123,0.14316373258023649,0.01855529421073751,-4.773131e-06,0.0015599603,143.5546875,-344.19638,20610.842,94.32361,4232.2515,24.192448,529.40314,7.068389,537.1852,-3.2454157,573.1138,7.6614084,296.33325,4.4102693,178.77568,0.11798096,192.52383,-2.7614446,246.11339,-8.540346,201.36171,1.1238999,135.39066,-0.73678416,147.78271,0.57101923,54.464176,2.505372,86.46452,-5.9222536,98.424065,4.277027,76.035065,0.93366224,64.926186,-2.1466672,68.15685,-4.1881886,44.46437,6.043201,54.53323,04383b5618f4d8d8ef2b075c6e24f754ac6c0795717058f7e330bcd09e1e835f3e854446fda612edf59a9159f87a4475a1fad99f520e9df05caabe23d304af28
0.43972737,0.08408595,0.0644846,0.0057418533,2036.0945709802747,1236224.9838894727,2381.1461611049517,795455.2795217177,4517.966478924419,8822338.636038303,0.09213526526162791,0.004135302321339633,-2.9659905e-05,0.0021438724,83.35433467741936,-345.01263,22777.74,110.37429,3774.579,20.076124,360.30103,7.256455,390.11343,-2.3391497,555.28,-1.081436,337.3167,7.7652607,147.89326,4.5173078,149.43097,-6.355874,235.0547,-5.784704,166.05469,1.0137535,107.94158,1.0033057,100.60076,4.0304675,58.598976,0.25197354,68.2842,-6.618628,82.47304,4.3798413,63.040325,-2.3705654,86.553635,-1.2617605,55.40481,-0.059119843,43.44127,3.733893,49.742657,04383b5618f4d8d8ef2b075c6e24f754ac6c0795717058f7e330bcd09e1e835f3e854446fda612edf59a9159f87a4475a1fad99f520e9df05caabe23d304af28
0.35960227,0.09247943,0.035363365,0.0009377499,1970.985749383422,1675678.0131784955,2256.767616630649,717132.5691224918,4185.516357421875,7801551.472149789,0.08544921875,0.007422977685928344,-1.3367774e-05,0.00063871813,117.45383522727273,-367.85724,12223.112,117.126076,3656.517,21.128502,782.25757,19.393276,709.9029,7.5351887,524.6018,-0.2664009,280.81915,4.2902784,197.41844,1.63933,228.04807,-6.711957,252.90578,-9.673402,234.88867,5.106949,122.867775,-3.8378668,118.62214,-4.1330194,81.15305,-0.7985896,113.906075,-2.980019,66.64342,2.176243,94.988754,-7.0520754,84.51914,0.99422866,74.484024,-1.0283548,55.82297,6.182127,55.270084,04383b5618f4d8d8ef2b075c6e24f754ac6c0795717058f7e330bcd09e1e835f3e854446fda612edf59a9159f87a4475a1fad99f520e9df05caabe23d304af28
0.36730078,0.08601372,0.038793787,0.001675748,2014.2337081714513,1632036.0732604647,2310.066072503604,905200.3824420125,4316.873345493285,9466894.121839412,0.08476723915289257,0.004144402493480189,-1.7951672e-06,0.00091949897,143.5546875,-378.5524,17714.023,122.79034,3487.8254,22.388441,947.7579,15.817642,461.16202,3.3720806,455.87628,-0.28362662,432.5229,4.918255,183.02988,6.6821127,170.28966,-1.1957349,138.18306,-7.934076,265.70868,4.5052156,105.97769,-6.1759,92.87059,-2.7485096,91.14055,0.79583114,35.835827,-6.7676563,63.526817,1.3083524,70.15201,-7.675317,94.00965,3.6775537,86.86734,0.22430865,43.94232,7.9321136,52.44634,04383b5618f4d8d8ef2b075c6e24f754ac6c0795717058f7e330bcd09e1e835f3e854446fda612edf59a9159f87a4475a1fad99f520e9df05caabe23d304af28
0.34668604,0.07958015,0.032669455,0.0023252857,2355.9562772022755,1342453.3378305826,2657.8005630100915,689663.4651096177,5453.081311677632,7709470.533921778,0.09615469337406016,0.004238550372805454,-1.8514635e-05,0.00063301955,129.19921875,-399.74847,18541.945,94.07559,2812.2761,17.227173,498.39432,16.424398,380.8516,13.662156,246.35985,3.4967136,220.2575,4.9132495,194.1887,3.2793288,183.66536,-1.2353774,208.69373,-3.4374053,172.00404,4.2675486,93.1634,-0.13168065,43.79899,-4.4685216,79.20427,-0.31365317,48.71756,-1.1860609,47.824585,4.87359,46.41144,-4.8637877,100.973976,1.266278,98.85202,2.6650648,27.588362,4.0738473,62.13636,04383b5618f4d8d8ef2b075c6e24f754ac6c0795717058f7e330bcd09e1e835f3e854446fda612edf59a9159f87a4475a1fad99f520e9df05caabe23d304af28
0.35458815,0.08464115,0.044911746,0.003089813,2178.616528545831,1285246.8474799716,2527.8960567969048,601366.0906157402,4878.644967586436,6878177.091261552,0.08572972074468085,0.003162895480090179,-6.7477613e-06,0.0014107082,117.45383522727273,-364.82544,21841.752,99.29711,2373.469,21.245974,419.15173,16.746853,477.07635,7.2836604,357.7558,8.597591,168.22818,2.6700964,116.877174,4.938158,107.059074,-10.200144,305.33484,-9.92418,261.48465,6.0280614,40.471153,-0.730796,88.72806,-5.456004,71.22006,-2.8491106,58.657974,-2.3779268,45.537014,2.3546062,94.75379,-1.8197905,94.612755,-0.86420065,96.800934,1.1116787,23.667786,4.827088,51.528225,04383b5618f4d8d8ef2b075c6e24f754ac6c0795717058f7e330bcd09e1e835f3e854446fda612edf59a9159f87a4475a1fad99f520e9df05caabe23d304af28
0.3667175,0.085957006,0.03751668,0.0016935207,2068.7021178566606,1280619.8539515955,2427.2103770087674,623940.9361083908,4473.3941621187205,7401626.635426057,0.09324302855861244,0.0036854056009035983,1.4734022e-06,0.0004730485,99.38401442307692,-366.83417,16267.395,106.26297,2653.387,24.765715,541.7776,20.189823,662.43317,4.7479687,1160.8066,-2.326458,420.47293,4.635509,151.85924,4.1819434,220.99316,-4.3429666,216.7402,-8.90588,250.0163,1.2261091,88.35577,-0.67315716,111.516014,-4.198226,126.67405,-3.3252807,65.28791,-1.2929078,58.784824,3.2080958,61.28752,-5.566388,134.50227,1.2420616,74.98247,-0.63332975,37.87733,6.6366963,63.00541,04383b5618f4d8d8ef2b075c6e24f754ac6c0795717058f7e330bcd09e1e835f3e854446fda612edf59a9159f87a4475a1fad99f520e9df05caabe23d304af28
0.48268682,0.088404745,0.10158553,0.012520027,2624.363238272277,1508803.3907779348,2403.531738613964,390950.58175738837,5291.092958929818,4826096.269727992,0.16309684881284917,0.009962569282860097,1.3684933e-05,0.0023259209,99.38401442307692,-263.3877,35213.1,76.36507,3350.32,0.53756225,758.1508,27.31011,677.1957,-7.050199,582.67163,12.979793,251.87723,-5.0473557,308.81506,1.7498719,123.72337,-7.8300357,164.00633,-2.9478712,107.117676,2.971477,93.487625,-3.572726,115.545654,-0.46747172,52.48538,-2.2825205,70.949486,0.39286405,60.74363,-2.2294548,43.212887,-0.3399906,39.709797,-3.5064294,45.24966,2.4042966,37.928722,-2.7803485,44.68357,04383b5618f4d8d8ef2b075c6e24f754ac6c0795717058f7e330bcd09e1e835f3e854446fda612edf59a9159f87a4475a1fad99f520e9df05caabe23d304af28
